2003.11,274871,2142.0,2003.12,28.66,2003.11
2003.12,299859,2156.0,2004.1,29.85,2003.12
2004.1,285970,2156.0,2004.2,29.2,2004.1
2004.2,288988,2151.0,2004.3,31.59,2004.2
2004.3,308663,2150.0,2004.4,32.55,2004.3
2004.4,320515,2153.0,2004.5,34.62,2004.4
2004.5,336360,2152.0,2004.6,35.96,2004.5
2004.6,355230,2156.0,2004.7,33.31,2004.6
2004.7,367141,2157.0,2004.8,39.55,2004.7
2004.8,372026,2162.0,2004.9,39.75,2004.8
2004.9,367881,2167.0,2004.10,46.02,2004.9
2004.10,370408,2172.0,2004.11,48.0,2004.10
2004.11,392727,2175.0,2004.12,45.62,2004.11
2004.12,434900,2170.0,2005.1,40.37,2004.12
2005.1,398172,2172.0,2005.2,44.5,2005.1
2005.2,400427,2159.0,2005.3,50.0,2005.2
2005.3,427583,2153.0,2005.4,53.3,2005.3
2005.4,440553,2151.0,2005.5,52.59,2005.4
2005.5,449933,2149.0,2005.6,50.47,2005.5
2005.6,476355,2149.0,2005.7,56.15,2005.6
2005.7,487949,2148.0,2005.8,59.0,2005.7
2005.8,497443,2151.0,2005.9,68.05,2005.8
2005.9,485230,2150.0,2005.10,63.43,2005.9
2005.10,501517,2149.0,2005.11,59.24,2005.10
2005.11,502990,2150.0,2005.12,54.01,2005.11
2005.12,562189,2152.0,2006.1,57.97,2005.12
2006.1,518979,2150.0,2006.2,66.4,2006.1
2006.2,525380,2151.0,2006.3,60.36,2006.2
2006.3,558513,2149.0,2006.4,66.75,2006.3
2006.4,561612,2149.0,2006.5,70.75,2006.4
2006.5,579312,2143.0,2006.6,71.0,2006.5
2006.6,603956,2142.0,2006.7,72.95,2006.6
2006.7,612279,2142.0,2006.8,73.22,2006.7
2006.8,623542,2141.0,2006.9,70.6,2006.8
2006.9,606385,2141.0,2006.10,62.1,2006.9
2006.10,618425,2141.0,2006.11,58.77,2006.10
2006.11,611482,2140.0,2006.12,62.98,2006.11
2006.12,668049,2140.0,2007.1,60.52,2006.12
2007.1,617244,2140.0,2007.2,56.25,2007.1
2007.2,614327,2142.0,2007.3,60.25,2007.2
2007.3,659447,2143.0,2007.4,68.25,2007.3
2007.4,661850,2145.0,2007.5,68.23,2007.4
2007.5,686852,2145.0,2007.6,67.99,2007.5
2007.6,710232,2145.0,2007.7,70.41,2007.6
2007.7,731975,2145.0,2007.8,75.6,2007.7
2007.8,737342,2147.0,2007.9,72.03,2007.8
2007.9,713362,2149.0,2007.10,80.25,2007.9
2007.10,738019,2151.0,2007.11,90.53,2007.10
2007.11,736386,2153.0,2007.12,90.25,2007.11
2007.12,795386,2150.0,2008.1,94.29,2007.12
2008.1,756332,2150.0,2008.2,91.6,2008.1
2008.2,761605,2147.0,2008.3,101.2,2008.2
2008.3,807846,2145.0,2008.4,103.36,2008.3
2008.4,836980,2140.0,2008.5,113.5,2008.4
2008.5,847008,2134.0,2008.6,127.0,2008.5
2008.6,892423,2125.0,2008.7,141.29,2008.6
2008.7,923277,2114.0,2008.8,126.9,2008.7
2008.8,938342,2111.0,2008.9,114.97,2008.8
2008.9,942941,2111.0,2008.10,93.3,2008.9
2008.10,958358,2120.0,2008.11,62.52,2008.10
2008.11,954891,2160.0,2008.12,53.42,2008.11
2008.12,1000187,2200.0,2009.1,40.11,2008.12
2009.1,919637,2752.0,2009.2,45.5,2009.1
2009.2,906177,2858.0,2009.3,46.29,2009.2
2009.3,957130,2829.0,2009.4,48.5,2009.3
2009.4,965657,2805.0,2009.5,51.17,2009.4
2009.5,979134,2780.0,2009.6,64.02,2009.5
2009.6,1014762,2825.0,2009.7,71.3,2009.6
2009.7,1035164,2827.0,2009.8,69.79,2009.7
2009.8,1043494,2837.0,2009.9,72.79,2009.8
2009.9,1022953,2761.0,2009.10,65.35,2009.9
2009.10,1026187,2730.0,2009.11,78.19,2009.10
2009.11,1012903,2782.0,2009.12,77.46,2009.11
2009.12,1093017,2859.0,2010.1,78.65,2009.12
2010.1,999963,2890.0,2010.2,72.2,2010.1
2010.2,1016393,2930.0,2010.3,76.45,2010.2
2010.3,1095257,2978.0,2010.4,81.14,2010.3
2010.4,1116820,2961.0,2010.5,87.09,2010.4
2010.5,1158373,3000.0,2010.6,74.02,2010.5
2010.6,1234941,3020.0,2010.7,74.9,2010.6
2010.7,1282757,2974.0,2010.8,77.42,2010.7
2010.8,1286851,3014.0,2010.9,76.1,2010.8
2010.9,1305148,3010.0,2010.10,80.79,2010.9
2010.10,1328196,3011.0,2010.11,83.47,2010.10
2010.11,1428337,3032.0,2010.12,87.55,2010.11
2010.12,1595873,3000.0,2011.1,92.87,2010.12
2011.1,1409625,3015.0,2011.2,99.61,2011.1
2011.2,1439301,3022.0,2011.3,112.5,2011.2
2011.3,1537210,3045.0,2011.4,115.3,2011.3
2011.4,1563393,3013.0,2011.5,124.9,2011.4
2011.5,1648669,4970.0,2011.6,114.52,2011.5
2011.6,1782857,4945.0,2011.7,112.3,2011.6
2011.7,1854517,4958.0,2011.8,117.17,2011.7
2011.8,1992310,5107.0,2011.9,113.85,2011.8
2011.9,2260112,5640.0,2011.10,104.91,2011.9
2011.10,2318000,8450.0,2011.11,110.13,2011.10
2011.11,2439681,8590.0,2011.12,110.8,2011.11
2011.12,2877658,8350.0,2012.1,108.0,2011.12
2012.1,2880585,8350.0,2012.2,110.98,2012.1
2012.2,2964249,8110.0,2012.3,121.61,2012.2
2012.3,3159624,8020.0,2012.4,122.6,2012.3
2012.4,3252689,8050.0,2012.5,119.7,2012.4
