year,vvp(bln),per/p(тыс)
2000,91341,
2001,17173,
2002,26138,
2003,36565,
2004,49992,
2005,65067,
2006,79267,
2007,97165,
2008,129791,
2009,137442,
2010,164476,
2011,297158,
2012,530356,
2013,649111,
2014,778456,













9151)
1 730
2 649
3 732
5 138
6 733
8 253
10 163
13 622
14 457
17 330
31 368
56 036
68 573
82 163
